,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
drug_fingerprint_bit_79,0.0009651124104769482,-0.0022317639353532396,0.006107041315425557,-0.00033880572487278204,0.013974585793119353,0.004820506698920755,0.1221941675892819,0.00799341415369181,-0.002247545062911499,-0.000302745396601211,-1.4003345571328358e-05,-0.0013156665458144865,0.007474607072961289,-3.3072733469234836e-05,-0.007245387380576203
drug_fingerprint_bit_80,0.00018736071992869543,-0.0016959045336259607,-0.010639187595599486,0.023393065241998322,0.014848108360816188,0.0029722798331940203,0.11033465073343243,0.00957392912532875,-0.002264834238587165,0.0004075302745207186,-6.0244339153542586e-05,0.000881729589375187,0.011355760379118765,-0.009763013138574155,-0.014326362554006032
drug_fingerprint_bit_85,0.0009651124104769482,-0.0022317639353532396,0.006107041315425557,-0.00033880572487278204,0.013974585793119353,0.004820506698920755,0.1221941675892819,0.00799341415369181,-0.002247545062911499,-0.000302745396601211,-1.4003345571328358e-05,-0.0013156665458144865,0.007474607072961289,-3.3072733469234836e-05,-0.007245387380576203
drug_fingerprint_bit_86,0.0009651124104769482,-0.0022317639353532396,0.006107041315425557,-0.00033880572487278204,0.013974585793119353,0.004820506698920755,0.1221941675892819,0.00799341415369181,-0.002247545062911499,-0.000302745396601211,-1.4003345571328358e-05,-0.0013156665458144865,0.007474607072961289,-3.3072733469234836e-05,-0.007245387380576203
drug_fingerprint_bit_89,0.0009651124104769482,-0.0022317639353532396,0.006107041315425557,-0.00033880572487278204,0.013974585793119353,0.004820506698920755,0.1221941675892819,0.00799341415369181,-0.002247545062911499,-0.000302745396601211,-1.4003345571328358e-05,-0.0013156665458144865,0.007474607072961289,-3.3072733469234836e-05,-0.007245387380576203
drug_fingerprint_bit_90,-0.0006702116376426508,0.0012422245212825244,-0.0013546348030955822,9.503125096000452e-05,0.005742768853099915,-0.03765388834897018,0.009658564209352944,0.004468449903238793,-0.0004944320661421411,0.0010762926203953128,-0.00010801230172401645,-0.000832974252210141,-0.0017731581987468841,-0.010700769194419176,-0.0027111303812368654
drug_fingerprint_bit_97,-0.0006702116376426508,0.0012422245212825244,-0.0013546348030955822,9.503125096000452e-05,0.005742768853099915,-0.03765388834897018,0.009658564209352944,0.004468449903238793,-0.0004944320661421411,0.0010762926203953128,-0.00010801230172401645,-0.000832974252210141,-0.0017731581987468841,-0.010700769194419176,-0.0027111303812368654
drug_fingerprint_bit_101,9.086934229698244e-05,-0.001335960357218971,-0.002878215097841795,-0.029294287827630307,-2.855163934722298e-05,0.0018383450731756922,-0.0434141484741268,-0.006695894139110073,0.0011481290607225356,-0.0003341957083149039,2.4746220836629582e-05,0.00025006835871689114,-0.0026966606270992476,-0.0040155119547663305,0.00670547692468602
drug_fingerprint_bit_103,-0.0006702116376426508,0.0012422245212825244,-0.0013546348030955822,9.503125096000452e-05,0.005742768853099915,-0.03765388834897018,0.009658564209352944,0.004468449903238793,-0.0004944320661421411,0.0010762926203953128,-0.00010801230172401645,-0.000832974252210141,-0.0017731581987468841,-0.010700769194419176,-0.0027111303812368654
drug_fingerprint_bit_105,-0.0009484416998683287,0.004274089412127458,0.012162767890345691,0.0059962538365919745,-0.009076787868369034,-0.042464513255339904,-0.05726193804995267,0.0015904149170201452,0.000622273111722939,0.0010029580541890328,-7.251418340714142e-05,0.00025142049201038174,-0.0030819782328363535,-0.007682343623643834,0.00167484050124476
drug_fingerprint_bit_107,-0.0016717477715503224,0.009191929580004036,0.0028635102754615152,0.01301943323377359,-0.008822260677220799,0.01467409027247112,-0.027756884086308293,-0.0019122460761315514,0.0005151999530007788,-0.0003478112154750738,5.391918193239111e-05,-0.007299562008488051,-0.007952912156195837,-0.009879444467132145,0.01682339974026515
