poly_num_hbond_donors_sum_fullpolymerfeaturizer,poly_num_hbond_acceptors_sum_fullpolymerfeaturizer,poly_num_non_aromatic_rings_sum_fullpolymerfeaturizer,poly_num_aromatic_rings_sum_fullpolymerfeaturizer,poly_topological_surface_area_sum_fullpolymerfeaturizer,poly_num_hbond_donors_sidechainfeaturizer_sum,poly_num_hbond_acceptors_sidechainfeaturizer_sum,poly_num_atoms_sum_backbonefeaturizer,poly_sp2_carbon_count_sum_backbonefeaturizer,poly_sp3_carbon_count_sum_backbonefeaturizer,poly_homo_eV_H,poly_lumo_eV_H,poly_homo_eV_C,poly_lumo_eV_C,poly_homo_eV_O,poly_lumo_eV_O,drug_num_hbond_donors_sum_fullmolecularfeaturizer,drug_num_hbond_acceptors_sum_fullmolecularfeaturizer,drug_num_non_aromatic_rings_sum_fullmolecularfeaturizer,drug_num_aromatic_rings_sum_fullmolecularfeaturizer,drug_logp,drug_min_logd_pH_7.0-7.4,drug_max_logd_pH_7.0-7.4,drug_homo_eV,drug_lumo_eV,CONCENTRATION,CAPACITY,SOURCE
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69458348542545,-18.665422313017253,17.20749251747271,-18.62956540421629,17.039122840500312,-19.744566085887847,2,2,3,1,3.6092000000000026,2.977200000000002,3.6092000000000026,17.150349600998165,-19.126663211970758,100,29.56,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.694580986168013,-18.665421734271852,17.20539412290251,-18.59576570016394,16.655145377877467,-19.945526738867773,2,2,3,1,3.6092000000000026,2.977200000000002,3.6092000000000026,17.19157659656674,-19.155478869818065,200,56.46,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.69458453960197,-18.665421917777763,17.205406389889067,-18.59576496673693,16.956566845830256,-19.96603056564143,1,3,0,3,3.9273200000000026,2.59262,2.59262,18.553978185525356,-29.00424531994311,10,1.144,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.691053076851713,-18.686140821565054,17.194875449685544,-18.656014161284947,17.061542483566015,-20.044075928140476,1,3,0,3,3.9273200000000026,2.59262,2.59262,18.5620915805405,-28.982040716685557,25,1.907,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.691049790615878,-18.686143259367732,17.186204998832462,-18.600571377569008,17.115079687047388,-19.876100536626772,1,3,0,3,3.9273200000000026,2.59262,2.59262,18.651213035268277,-28.945882902546415,50,4.768,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.694587194601706,-18.665419718703728,17.19491373990542,-18.628037737878174,16.90977646828808,-20.007160508736096,1,3,0,3,3.9273200000000026,2.59262,2.59262,18.562150501235845,-28.98204693748353,100,7.439,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
0.0,1.0,0.0,1.0,20.310000000000002,0,1,5,0,3,17.694590458286083,-18.665421388716663,17.186257081585573,-18.60056552414022,16.774380623604813,-19.715512698765178,1,3,0,3,3.9273200000000026,2.59262,2.59262,18.65111284507439,-28.945863990488004,200,19.84,https://www.researchgate.net/publication/384556501_2-Oxazoline-Based_Polymer_for_Pharmaceutical_Products_Adsorption_in_Aqueous_Media
5.0,6.0,0.0,1.0,104.39000000000001,5,6,4,0,2,16.761128446786827,-19.093306464062355,17.003688968577837,-19.07766335574144,16.673839622392915,-19.190069734878406,2,5,1,2,1.5809999999999997,0.1639000000000001,1.5809999999999997,31.09076050962109,-21.298125380550054,25,22.87,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
5.0,6.0,0.0,1.0,104.39000000000001,5,6,4,0,2,16.70366106368732,-19.179206485863403,17.19958024383943,-19.44633729580988,16.719001750494545,-19.313712481003456,3,5,2,1,0.3181000000000002,-3.1504999999999965,-1.016599999999999,18.176726801767618,-20.977960600057365,25,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
5.0,6.0,0.0,1.0,104.39000000000001,5,6,4,0,2,17.029615560593236,-19.094603018083436,16.999588735674543,-19.88524611681966,16.450799822572215,-19.579890764379495,6,9,3,1,-0.5041999999999991,-4.948699999999995,-2.899599999999996,17.59412391478904,-20.093151512813538,25,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
