POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
Chitosan-carbon nanotubes,Amoxicillin,7.0,26.66667,15.4,interpolated
Chitosan-carbon nanotubes,Amoxicillin,7.0,40.0,23.1,https://link.springer.com/article/10.1007/s41742-025-00825-4
Chitosan-carbon nanotubes,Ciprofloxacin,7.0,0.0,0.0,interpolated
Chitosan-carbon nanotubes,Ciprofloxacin,7.0,13.33333,7.9,interpolated
Chitosan-carbon nanotubes,Ciprofloxacin,7.0,26.66667,15.8,interpolated
Chitosan-carbon nanotubes,Ciprofloxacin,7.0,40.0,23.7,https://link.springer.com/article/10.1007/s41742-025-00825-4
Chitosan-carbon nanotubes,Sulfamethoxazole,7.0,0.0,0.0,interpolated
Chitosan-carbon nanotubes,Sulfamethoxazole,7.0,13.33333,8.39,interpolated
Chitosan-carbon nanotubes,Sulfamethoxazole,7.0,26.66667,16.78,interpolated
Chitosan-carbon nanotubes,Sulfamethoxazole,7.0,40.0,25.17,https://link.springer.com/article/10.1007/s41742-025-00825-4
Diethylenetriaminepenta-acetic acid-functionalized magnetic graphene oxide (DDMGO),Ciprofloxacin,8.0,0.0,0.0,interpolated
Diethylenetriaminepenta-acetic acid-functionalized magnetic graphene oxide (DDMGO),Ciprofloxacin,8.0,16.66667,100.0,interpolated
Diethylenetriaminepenta-acetic acid-functionalized magnetic graphene oxide (DDMGO),Ciprofloxacin,8.0,33.33333,200.0,interpolated
Diethylenetriaminepenta-acetic acid-functionalized magnetic graphene oxide (DDMGO),Ciprofloxacin,8.0,50.0,300.0,https://link.springer.com/article/10.1007/s41742-025-00825-4
Diethylenetriaminepenta-acetic acid-functionalized magnetic graphene oxide (DDMGO),Tetracycline,3.0,0.0,0.0,interpolated
Diethylenetriaminepenta-acetic acid-functionalized magnetic graphene oxide (DDMGO),Tetracycline,3.0,16.66667,36.66667,interpolated
Diethylenetriaminepenta-acetic acid-functionalized magnetic graphene oxide (DDMGO),Tetracycline,3.0,33.33333,73.33333,interpolated
Diethylenetriaminepenta-acetic acid-functionalized magnetic graphene oxide (DDMGO),Tetracycline,3.0,50.0,110.0,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4 coated polymer (clay: chitosan) composite,Atenolol,10.0,0.0,0.0,interpolated
Fe3O4 coated polymer (clay: chitosan) composite,Atenolol,10.0,13.33333,5.2,interpolated
Fe3O4 coated polymer (clay: chitosan) composite,Atenolol,10.0,26.66667,10.4,interpolated
Fe3O4 coated polymer (clay: chitosan) composite,Atenolol,10.0,40.0,15.6,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4 coated polymer (clay: chitosan) composite,Ciprofloxacin,7.0,0.0,0.0,interpolated
Fe3O4 coated polymer (clay: chitosan) composite,Ciprofloxacin,7.0,13.33333,13.03333,interpolated
Fe3O4 coated polymer (clay: chitosan) composite,Ciprofloxacin,7.0,26.66667,26.06667,interpolated
Fe3O4 coated polymer (clay: chitosan) composite,Ciprofloxacin,7.0,40.0,39.1,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4 coated polymer (clay: chitosan) composite,Gemfibrozil,4.0,0.0,0.0,interpolated
