poly_num_hbond_donors_sum_fullpolymerfeaturizer,poly_num_hbond_acceptors_sum_fullpolymerfeaturizer,poly_num_non_aromatic_rings_sum_fullpolymerfeaturizer,poly_num_aromatic_rings_sum_fullpolymerfeaturizer,poly_topological_surface_area_sum_fullpolymerfeaturizer,poly_num_hbond_donors_sidechainfeaturizer_sum,poly_num_hbond_acceptors_sidechainfeaturizer_sum,poly_num_atoms_sum_backbonefeaturizer,poly_sp2_carbon_count_sum_backbonefeaturizer,poly_sp3_carbon_count_sum_backbonefeaturizer,poly_homo_eV_H,poly_lumo_eV_H,poly_homo_eV_C,poly_lumo_eV_C,poly_homo_eV_O,poly_lumo_eV_O,drug_num_hbond_donors_sum_fullmolecularfeaturizer,drug_num_hbond_acceptors_sum_fullmolecularfeaturizer,drug_num_non_aromatic_rings_sum_fullmolecularfeaturizer,drug_num_aromatic_rings_sum_fullmolecularfeaturizer,drug_logp,drug_min_DRUG_logd_at_WATER_PH,drug_max_DRUG_logd_at_WATER_PH,drug_homo_eV,drug_lumo_eV,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
5.0,6.0,0.0,1.0,104.39000000000001,5.0,6.0,4.0,0.0,2.0,-10.273602078964059,-6.242966445985809,-9.560759181181364,-6.018693941894053,-9.64252015669443,-6.226533200885473,1.0,5.0,0.0,3.0,0.7357999999999993,0.7357999999999993,0.7357999999999993,-10.955086891257558,-7.284378635260481,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
5.0,6.0,0.0,1.0,104.39000000000001,5.0,6.0,4.0,0.0,2.0,-9.934718275680396,-6.238964502089388,-10.330562202073224,-6.246083350372042,-9.724230664781018,-6.434205564083133,2.0,9.0,5.0,0.0,5.7289000000000065,5.7289000000000065,5.7289000000000065,-10.3043147642729,-7.01292680232634,6.5,25.0,15.13,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
5.0,6.0,0.0,1.0,104.39000000000001,5.0,6.0,4.0,0.0,2.0,-10.255263936242132,-6.202561822763119,-9.485303015055983,-6.048591421894673,-10.396266380193063,-6.631133152617163,1.0,2.0,0.0,1.0,2.4568000000000003,1.1220999999999997,1.1220999999999997,-10.759107836080567,-7.528360157070922,6.5,25.0,24.38,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
5.0,6.0,0.0,1.0,104.39000000000001,5.0,6.0,4.0,0.0,2.0,-9.973170141509792,-6.080407887394675,-9.329324396271382,-5.955859559371172,-10.374711188329119,-6.41735714094325,2.0,5.0,1.0,3.0,5.9722400000000055,4.708240000000004,5.9722400000000055,-10.243230597827136,-7.193832259778364,6.5,25.0,24.17,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
5.0,6.0,0.0,1.0,104.39000000000001,5.0,6.0,4.0,0.0,2.0,-9.525451852027155,-6.005744290649453,-9.517685970289048,-5.879237884440646,-10.259874724183472,-6.701974138000767,0.0,4.0,0.0,3.0,2.827300000000001,2.827300000000001,2.827300000000001,-8.59981622550979,-6.853477158235378,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,1.0,0.0,0.0,37.3,1.0,1.0,5.0,0.0,3.0,-11.375084508395348,-6.632757260497259,-11.235100728989117,-6.542926995133159,-11.307299852736831,-7.321322830124818,2.0,5.0,1.0,2.0,1.5809999999999997,0.1639000000000001,1.5809999999999997,-8.042727855895953,-7.391715314170459,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,1.0,0.0,0.0,37.3,1.0,1.0,5.0,0.0,3.0,-11.375074519526814,-6.632754040392563,-11.258874908685558,-6.575343824393427,-11.2868180382681,-7.053514881652589,3.0,5.0,2.0,1.0,0.3181000000000002,-3.1504999999999965,-1.016599999999999,-10.355951352742913,-7.322213616736213,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,1.0,0.0,0.0,37.3,1.0,1.0,5.0,0.0,3.0,-11.375066396413905,-6.63275441335589,-11.239806136268838,-6.560380465407097,-11.33774107965155,-7.24691932797304,6.0,9.0,3.0,1.0,-0.5041999999999991,-4.948699999999995,-2.899599999999996,-7.818732133422644,-6.867510630016126,6.5,25.0,7.91,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,1.0,0.0,0.0,37.3,1.0,1.0,5.0,0.0,3.0,-11.40025703450124,-6.600168810990687,-11.239812995749663,-6.560383474249105,-11.470096225953885,-7.069231518209855,2.0,4.0,1.0,2.0,1.7959,-0.5649999999999988,0.46119999999999967,-7.761763126538643,-7.491565698860522,6.5,25.0,23.67,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,1.0,0.0,0.0,37.3,1.0,1.0,5.0,0.0,3.0,-11.37508302291368,-6.63275140298413,-11.239801475209488,-6.560377046894257,-11.21423515926402,-6.89388609275664,1.0,5.0,0.0,3.0,0.7357999999999993,0.7357999999999993,0.7357999999999993,-10.836317876396928,-7.509299539426947,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
