POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,homo_eV,lumo_eV
*CC(C1=CC=C(C=C1)CN(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)*,CC1=CC(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,6.5,100.0,94.03,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,-10.30981802122975,-7.226794065528695
*CC(C)(C(=O)OCCO)*,Clc1cc(Cl)ccc1OCC(=O)O,6.5,25.0,3.46,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,-10.759107311472496,-7.528358837514117
*CC(C)(C(=O)OCCO)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,6.5,25.0,4.2,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,-10.183564945586435,-7.542743703260383
*CC(C)(C(=O)OCCO)*,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,6.5,25.0,13.26,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,-7.918139298668075,-7.07135361739463
*CC(C)(C(=O)OCCO)*,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,-10.836257332365307,-7.465642556639348
*CC(C)(C(=O)OCCO)*,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,-7.508052746171961,-6.631083717656111
*CC(C)(C(=O)OCCO)*,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=O)C=C3S2,6.5,25.0,24.46,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,-8.59980941905612,-6.853471620808401
*CC(C)(C(=O)OCCO)*,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,6.5,25.0,5.6,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,-10.291275308873594,-6.981678224198664
*CC(C)(C(=O)OCCO)*,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,-8.042729593261475,-7.391714081896421
*CC(C)(C(=O)OCCO)*,CC1=CC(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,6.5,25.0,14.73,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,-10.247294374238923,-7.204996898293526
*OC1C(O)C(O)C(*)OC1COC(=O)CC(O)(C(=O)O)CC(=O)NCCN,[Cd+2],5.0,100.0,43.5,https://www.sciencedirect.com/science/article/pii/S0141813022004779,-7.252341258388667,-0.7448650265382806
*OC1C(O)C(O)C(*)OC1COC(=O)CC(O)(C(=O)O)CC(=O)NCCN,[Pb+2],5.0,100.0,65.7,https://www.sciencedirect.com/science/article/pii/S0141813022004779,-24.0552078497181,-5.893816200595002
*CC(=C)C(=O)O*,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,6.0,2.0,0.0717,https://link.springer.com/article/10.1007/s11356-022-19130-0,-9.970817631109316,-6.867566703711057
*CC(=C)C(=O)O*,,6.0,2.0,0.07,https://link.springer.com/article/10.1007/s11356-022-19130-0,,
*CC(=C)C(=O)O*,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,6.0,2.0,0.0719,https://link.springer.com/article/10.1007/s11356-022-19130-0,-9.975980448550432,-7.272315136891804
*CC(C(=O)NC(C)C)*,[Ag],6.6,100.0,13.6,https://www.sciencedirect.com/science/article/pii/S2213343718305608,-8.083960288021634,-2.9343331045490797
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,6.18e-05,0.000106766,https://link.springer.com/article/10.1007/s11270-023-06281-0,-4.042716752761829,-3.0769664296085835
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.0001,0.00018,interpolated,-7.237534868706544,-6.638045235859265
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00013,0.00025,interpolated,-4.433742339299941,-3.426027879243388
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.0001713,0.00031752,https://link.springer.com/article/10.1007/s11270-023-06281-0,-5.6107987400211625,-4.527832419062387
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00024,0.00055,interpolated,-4.832542822537581,-3.677980495285401
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00032,0.00078,interpolated,-6.665889756691869,-3.7862839171139995
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.0003904,0.0010122667,https://link.springer.com/article/10.1007/s11270-023-06281-0,-6.349562484381598,-5.638543171684621
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00042,0.00121,interpolated,-7.315897244455893,-6.344822343314371
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00044,0.00142,interpolated,-4.392553790682183,-3.831478768355534
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.0004691,0.0016180333,https://link.springer.com/article/10.1007/s11270-023-06281-0,-5.4407197153758124,-3.963836549038215
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00215,0.00691,interpolated,-7.143868544179103,-6.6158791809615956
