POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,charge_at_WATER_PH_H,charge_at_WATER_PH_C,charge_at_WATER_PH_O,charge_at_WATER_PH
*CC(C1=CC=C(C=C1)CN(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)*,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,6.5,33.33333,20.28,interpolated,0,1,0,0.0
*CC(C1=CC=C(C=C1)CN(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)*,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,6.5,41.66667,25.35,interpolated,0,1,0,0.0
*CC(C1=CC=C(C=C1)CN(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)*,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,6.5,50.0,30.42,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,0,1,0,0.0
*CC(C1=CC=C(C=C1)CN(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)*,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,6.5,66.66667,40.62667,interpolated,0,1,0,0.0
*CC(C1=CC=C(C=C1)CN(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)*,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,6.5,83.33333,50.83333,interpolated,0,1,0,0.0
*CC(C1=CC=C(C=C1)CN(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)*,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,6.5,100.0,61.04,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,0,1,0,0.0
*CC(C1=CC=C(C=C1)CN(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)*,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,6.5,25.0,22.87,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,0,1,0,1.0
*CC(C1=CC=C(C=C1)CN(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)*,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,6.5,25.0,23.72,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,0,1,0,1.0
*CC(C1=CC=C(C=C1)CN(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)*,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,6.5,33.33333,31.54333,interpolated,0,1,0,1.0
*CC(C1=CC=C(C=C1)CN(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)*,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,6.5,41.66667,39.36667,interpolated,0,1,0,1.0
*CC(C1=CC=C(C=C1)CN(C)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)*,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,6.5,50.0,47.19,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,0,1,0,1.0
